response,onset,offset,subject,trial
number four,3.85451856575964,4.67605874433107,S13,17
number four,1.88001133786848,2.57572243480726,S13,18
number one,3.24352855725624,3.96375070861678,S13,19
number one,3.04091030683107,3.89001744968821,S13,2
number three,1.64498844954649,2.34208028628118,S13,20
number two,1.10752210884354,1.70023327664399,S13,21
number four,2.31931990504535,2.94990026218821,S13,22
number one,2.88623285147392,3.6634091907596402,S13,23
number two,2.7732827026644,3.58937716128118,S13,24
number two,2.86996722647392,3.94251186933107,S13,25
number three,1.70966588718821,2.45043039611678,S13,26
number four,2.99363640873016,3.85395528628118,S13,27
number three,2.19459754109977,3.44841539115646,S13,28
number one,0.826679280045351,1.39621053004535,S13,29
number one,6.32177526218821,7.12180316397392,S13,3
number two,2.84519044075964,3.50506767290249,S13,30
number one,3.20846834254535,3.92875852111678,S13,31
number two,1.30884222647392,1.95953419075964,S13,32
number one,2.24591142290249,2.97367928004535,S13,33
number one,4.95472615504535,5.97832548540249,S13,34
number one,1.15290249433107,1.83147392290249,S13,36
number two,2.96742346938776,3.86708333333333,S13,37
number two,1.20587478741497,1.84146683673469,S13,38
number one,1.41466923540249,2.04594155683107,S13,39
number four,2.08067242417801,2.87951702451814,S13,4
number one,1.49100963718821,2.11509445861678,S13,40
number two,1.65511231575964,2.37676410147392,S13,41
number one,1.54213017290249,2.20913910147392,S13,42
number one,1.82157994968821,2.50372280683107,S13,43
number four,4.74304311933106,5.74024178004535,S13,44
number three,3.32141904053288,4.12077614795918,S13,45
number one,1.58986483134921,2.23284155328798,S13,46
number two,3.27404311933107,4.04014803004535,S13,47
number four,2.00199833475057,2.79479108205782,S13,48
number two,1.91333999433107,2.67456767290249,S13,49
number two,4.88135673540249,5.68333776218821,S13,5
number one,1.17615807468821,1.80383664611678,S13,50
number one,1.94048285147392,2.71813910147392,S13,51
number two,2.30921053004535,3.69268151218821,S13,52
number two,3.70128734410431,4.36833188066893,S13,53
number one,0.894682858560091,1.48090433673469,S13,54
number two,3.78086104024943,4.54297236394558,S13,55
number two,2.01763219246032,2.64483395337302,S13,56
number two,2.17720048540249,2.92602303004535,S13,57
number one,1.67843374433107,2.26773061933107,S13,58
number one,4.83407709750567,5.77883900226757,S13,59
number two,4.87713095238095,5.60133304988662,S13,6
number three,3.83127972647392,4.78229535147392,S13,60
number three,2.71474959254535,3.59714356575964,S13,61
number one,1.14032436933107,1.85745606575964,S13,62
number one,1.42324826388889,2.11749358701814,S13,63
number two,1.75411901218821,2.31857213718821,S13,64
number two,1.91819044075964,2.6165442354025,S13,65
number two,1.65712914540816,2.38458326247166,S13,66
number one,1.02313463718821,1.69456320861678,S13,67
number two,3.39566811933107,4.14307883361678,S13,68
number four,4.33707993197279,5.1866855867347,S13,69
number two,2.54823954790249,3.25808329790249,S13,7
number one,1.73508776218821,2.42374847647392,S13,70
number three,3.28709222647392,4.03154535147392,S13,71
number two,5.03024199263039,5.75876868976757,S13,72
number one,1.45634669075964,2.21040361040249,S13,74
number two,2.38247372803288,3.18778348214286,S13,75
number four,2.51768820861678,3.26638240504535,S13,77
number four,4.15448410926871,4.88516429280045,S13,79
number two,3.96727731717687,4.7138502692743796,S13,8
number two,3.86031147250567,4.60577933673469,S13,81
number four,2.59771053004535,3.34623731575964,S13,82
number four,3.67645762471655,4.50088718820862,S13,83
number three,3.02965249433107,3.75447392290249,S13,84
number one,3.40747392290249,4.08292035147392,S13,85
number two,1.11612570861678,1.75476410147392,S13,86
number one,2.14150963718821,2.71813910147392,S13,87
number one,4.89417382369614,5.57813587726757,S13,88
number two,5.12998341836735,5.83988864087302,S13,89
number three,2.84802637825964,3.57264133361678,S13,9
number one,0.967535306831066,1.52511343183107,S13,90
number one,2.1016108276644,2.72567120181406,S13,91
number two,2.08036454790249,2.90367928004535,S13,92
number one,1.51127515589569,2.4433985260771,S13,93
number one,1.25069490504535,1.91368039611678,S13,94
number three,4.10714312287415,4.94631058673469,S13,95
number two,2.19156547619048,2.82124801587302,S13,98
number one,2.66266220238095,3.26544547193878,S13,99
number one,6.99282994968821,7.79450405683107,S14,1
number one,4.13887012825964,5.01565026218821,S14,10
number one,1.30238812712585,2.02080684878118,S14,11
number three,4.0728217651644,5.19506887755102,S14,12
number two,1.10292704790249,1.80303865504535,S14,13
number two,5.46561678004535,8.40533218183107,S14,15
number one,1.35649390589569,2.04628893849206,S14,16
number two,0.979646417942177,1.77881335034014,S14,17
number four,1.53587386621315,2.51568147675737,S14,18
number one,0.706879056831066,2.15115361040249,S14,19
number four,1.46330087868481,2.28215433673469,S14,21
number two,0.781886869331066,1.63116142290249,S14,22
number one,2.09800963718821,3.48805428004535,S14,23
number two,2.3516747803288,3.18356058673469,S14,24
number one,1.01748173540249,1.79734780683107,S14,25
number two,0.796975162981859,1.55798529620181,S14,26
number two,1.97266370819161,3.00989133361678,S14,28
number one,0.767819798752834,1.66527427012472,S14,29
number three,1.73925517290249,2.94532660147392,S14,3
number one,1.12851920351474,2.13332468820862,S14,30
number three,4.18370762471655,5.28684183673469,S14,31
number four,2.28894281462585,3.06707986111111,S14,32
number two,0.931706065759637,1.67963017290249,S14,33
number one,1.76062012825964,2.94463240504535,S14,35
number four,1.55426215277778,2.94318558673469,S14,36
number one,1.31260976473923,3.10418475410998,S14,38
number four,1.73987012825964,2.44766030683107,S14,39
number three,2.76997615504535,3.70834669075964,S14,4
number two,0.730476332199547,1.5828643707483,S14,41
number one,2.5104545776644,3.41710317460318,S14,45
number two,1.68986890589569,2.55473922902494,S14,49
number four,3.44034892290249,4.37825070861678,S14,5
number two,0.83873508361678,1.68847838718821,S14,50
number one,0.729973214285714,1.50130966553288,S14,53
number two,2.16235785147392,3.22087905683107,S14,54
number three,1.07584445861678,2.21899178004535,S14,55
number one,3.39980537840136,4.26415114795918,S14,6
number three,2.86153422619048,3.75712592120181,S14,60
number one,1.31137138605442,2.62902214427438,S14,62
number three,2.22115846442744,2.98324808673469,S14,65
number three,2.28747289540816,3.2786045564059,S14,66
number one,0.77987179350907,1.8464332305839,S14,67
number one,1.66245383361678,2.56932325325964,S14,68
number two,5.49463164328231,6.45126633361678,S14,7
number one,1.53118374433107,2.43241142290249,S14,70
number one,2.6564594848356,3.38664478812358,S14,71
number three,1.93493112244898,3.70066276927438,S14,72
number two,1.02346485260771,2.51761734693878,S14,73
number four,3.74603837159864,4.67296510062358,S14,8
number one,2.40377046130952,3.18473922902494,S14,83
number four,3.76751162131519,4.71675092120181,S14,85
number one,2.53230931122449,3.74695943168934,S14,87
number two,4.11975852111678,4.97762124433107,S14,88
number three,3.44661566397392,4.60379200325964,S14,89
number two,1.63502191397392,2.40229869968821,S14,9
number three,1.99855204790249,2.91316142290249,S14,90
number three,3.04470160147392,4.42549808673469,S14,94
number one,0.898617169784581,1.80491712726757,S14,99
number two,1.34500974348073,2.02983471513605,S15,10
number two,4.10972339143991,4.94549241780045,S15,100
number two,2.22740472647392,2.89313017290249,S15,11
number one,2.64720048540249,3.34418709254535,S15,12
number one,1.44531767290249,2.07978195861678,S15,13
number two,1.42324674036281,2.30396386054422,S15,14
number two,2.88746945861678,3.85829535147392,S15,15
number two,3.34675083262472,4.04577905328798,S15,16
number two,1.80388052721088,2.40027614795918,S15,17
number one,2.5143393920068,3.23209998582766,S15,18
number one,1.74367947491497,2.43947153132086,S15,19
number two,2.55744155683107,3.38312794075964,S15,2
number two,1.85572280683107,2.65487459254535,S15,20
number two,2.69595606575964,3.48931544075964,S15,21
number one,0.993462514172336,1.7311485260771,S15,22
number one,2.17031381094104,3.0093033234127,S15,23
number two,3.40623954790249,4.1933489229025,S15,24
number one,1.51358281958617,2.25223370181406,S15,25
number two,1.39810175736961,2.23073922902494,S15,26
number one,1.96653530683107,2.69295829790249,S15,27
number one,3.62099512825964,4.44191030683107,S15,28
number one,1.19551856575964,1.90627749433107,S15,3
number two,3.58839021754535,4.42549808673469,S15,30
number two,1.89144827097506,3.2649019805839,S15,31
number one,0.769578798185941,1.54276509353741,S15,32
number one,2.54976968183107,3.21962459254535,S15,33
number two,3.34013357426304,4.24429758361678,S15,34
number one,3.15913575325964,3.74172503897392,S15,35
number four,3.17133999433106,4.32848285147392,S15,36
number three,3.23245548115079,3.9849234162415,S15,37
number two,2.03547838718821,3.08872615504535,S15,38
number four,3.77914021754535,4.72439133361678,S15,39
number one,1.97227093962585,2.75028167517007,S15,4
number two,3.94226016865079,4.91853922193878,S15,40
number three,2.36762012825964,3.11336231575964,S15,41
number one,2.41617035147392,3.14582994968821,S15,42
number two,1.14673731575964,1.83794267290249,S15,43
number one,1.65436789611678,2.47687347647392,S15,44
number one,0.800268565759637,1.41131767290249,S15,45
number three,2.79343709254535,3.87950294075964,S15,46
number one,2.29461635487528,3.21296952947846,S15,47
number two,2.63901075325964,3.40685673540249,S15,48
number two,2.10492258361678,3.05079311933107,S15,49
number one,2.52174289611678,3.27448843183107,S15,5
number two,2.0140014526644,2.67131189767574,S15,50
number one,3.69864374291383,4.60577933673469,S15,51
number two,3.96578307468821,4.78538128897392,S15,52
number four,2.25229535147392,3.12050963718821,S15,53
number two,2.13694267290249,2.82751186933107,S15,54
number three,4.07630151643991,4.89574525226757,S15,55
number four,2.76144825325964,3.56491923540249,S15,56
number one,1.9062456420068,2.68747526927438,S15,57
number four,2.17847392290249,2.96775963718821,S15,58
number two,1.47770269982993,2.22433933886054,S15,59
number two,4.86371499433107,5.54644936933107,S15,6
number one,1.26808218183107,1.97169267290249,S15,60
number two,1.46976077097506,2.38833290816327,S15,61
number three,2.87509892290249,3.93936231575964,S15,62
