Eprime.Level	Eprime.LevelName	Eprime.Basename	Eprime.FrameNumber	Procedure	Running	Face1	Face2	Face3	Face4	Ethnicity1	Gender1	EG1	Ethnicity2	Gender2	EG2	Ethnicity3	Gender3	EG3	Ethnicity4	Gender4	EG4	CorrectAnswer	XCoorFace1	XCoorFace2	XCoorFace3	XCoorFace4	Cycle	Sample	TwoAFCVoiceSoundIn1.Filename	TwoAFCVoice.OnsetDelay	TwoAFCVoice.OnsetTime	TwoAFCVoice.DurationError	TwoAFCVoice.RTTime	TwoAFCVoice.ACC	TwoAFCVoice.RT	TwoAFCVoice.RESP	TwoAFCVoice.CRESP	TwoAFCVoice.OnsetToOnsetTime	TwoAFCVoice.DEVICE	Confidence.DEVICE	Confidence.OnsetDelay	Confidence.OnsetTime	Confidence.DurationError	Confidence.RTTime	Confidence.ACC	Confidence.RT	Confidence.RESP	Confidence.CRESP	Confidence.OnsetToOnsetTime	Justinification.OnsetDelay	Justinification.OnsetTime	Justinification.DurationError	Justinification.RTTime	Justinification.ACC	Justinification.RT	Justinification.RESP	Justinification.CRESP	Justinification.OnsetToOnsetTime	FourAFCVoiceSoundIn1.Filename	FourAFCVoice.OnsetDelay	FourAFCVoice.OnsetTime	FourAFCVoice.DurationError	FourAFCVoice.RTTime	FourAFCVoice.ACC	FourAFCVoice.RT	FourAFCVoice.RESP	FourAFCVoice.CRESP	FourAFCVoice.OnsetToOnsetTime	FourAFCVoice.DEVICE	Justinification.DEVICE	Subject
2	TestList_76	Acoustic Content Analysis CSUN-25-1	169	fourafcproc	TestList	./stimuli/BF-016.jpg	./stimuli/LM-209.jpg	./stimuli/AM-212.jpg	./stimuli/LF-236.jpg	B	F	BF	L	M	LM	A	M	AM	L	F	LF	3	60%	20%	40%	80%	1	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	34	1939920	-999999	1940110	0	190	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-68.wav	16	1935870	9	1939886	0	4016	4	3	0	Keyboard	NA	S25
2	TestList_18	Acoustic Content Analysis CSUN-25-1	170	twoafcproc	TestList	./stimuli/BF-007.jpg	./stimuli/AF-248.jpg	?	?	B	F	BF	A	F	AF	?	?	?	?	?	?	1	40%	60%	?	?	1	69	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-69.wav	17	1940653	9	1943238	0	2585	2	1	0	Keyboard	Keyboard	32	1943270	-999999	1943494	0	224	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_78	Acoustic Content Analysis CSUN-25-1	171	fourafcproc	TestList	./stimuli/AM-208.jpg	./stimuli/BM-245.jpg	./stimuli/AM-248.jpg	./stimuli/BF-203.jpg	A	M	AM	B	M	BM	A	M	AM	B	F	BF	3	60%	20%	40%	80%	1	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	36	1951035	-999999	1951286	0	251	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-70.wav	17	1944053	9	1950998	0	6945	2	3	0	Keyboard	NA	S25
2	TestList_99	Acoustic Content Analysis CSUN-25-1	172	fourafcproc	TestList	./stimuli/WM-203.jpg	./stimuli/BF-048.jpg	./stimuli/LM-230.jpg	./stimuli/LM-222.jpg	W	M	WM	B	F	BF	L	M	LM	L	M	LM	4	80%	20%	40%	60%	1	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	42	1957752	-999999	1958022	0	270	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-71.wav	16	1951835	9	1957710	1	5875	4	4	0	Keyboard	NA	S25
2	TestList_83	Acoustic Content Analysis CSUN-25-1	173	fourafcproc	TestList	./stimuli/BM-246.jpg	./stimuli/AF-255.jpg	./stimuli/WF-244.jpg	./stimuli/AF-247.jpg	B	M	BM	A	F	AF	W	F	WF	A	F	AF	3	60%	20%	40%	80%	1	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	29	1961435	-999999	1962070	0	635	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-72.wav	16	1958568	10	1961406	0	2838	1	3	0	Keyboard	NA	S25
2	TestList_19	Acoustic Content Analysis CSUN-25-1	174	twoafcproc	TestList	./stimuli/WF-223.jpg	./stimuli/LF-233.jpg	?	?	W	F	WF	L	F	LF	?	?	?	?	?	?	2	60%	40%	?	?	1	73	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-73.wav	17	1962618	9	1964942	1	2324	2	2	0	Keyboard	Keyboard	42	1964984	-999999	1965190	0	206	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_91	Acoustic Content Analysis CSUN-25-1	175	fourafcproc	TestList	./stimuli/WF-018.jpg	./stimuli/BF-029.jpg	./stimuli/LM-234.jpg	./stimuli/BM-044.jpg	W	F	WF	B	F	BF	L	M	LM	B	M	BM	3	60%	20%	40%	80%	1	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	41	1968551	-999999	1969686	0	1135	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-74.wav	17	1965734	10	1968510	0	2776	4	3	0	Keyboard	NA	S25
2	TestList_48	Acoustic Content Analysis CSUN-25-1	176	twoafcproc	TestList	./stimuli/AM-226.jpg	./stimuli/AM-207.jpg	?	?	A	M	AM	A	M	AM	?	?	?	?	?	?	2	60%	40%	?	?	1	75	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-75.wav	17	1970234	9	1973742	0	3508	1	2	0	Keyboard	Keyboard	41	1973783	-999999	1974062	0	279	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_80	Acoustic Content Analysis CSUN-25-1	177	fourafcproc	TestList	./stimuli/AF-241.jpg	./stimuli/LF-225.jpg	./stimuli/AF-217.jpg	./stimuli/WM-258.jpg	A	F	AF	L	F	LF	A	F	AF	W	M	WM	1	20%	40%	60%	80%	1	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	47	1976717	-999999	1977414	0	697	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-76.wav	17	1974617	9	1976670	1	2053	1	1	0	Keyboard	NA	S25
2	TestList_32	Acoustic Content Analysis CSUN-25-1	178	twoafcproc	TestList	./stimuli/LF-249.jpg	./stimuli/AF-237.jpg	?	?	L	F	LF	A	F	AF	?	?	?	?	?	?	1	40%	60%	?	?	1	77	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-77.wav	16	1977966	9	1980286	0	2320	2	1	0	Keyboard	Keyboard	30	1980316	-999999	1980686	0	370	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
