Subject,Age,Sex,Language,Major,Session,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT,OldKey
14,19,female,native,psychology,2,12,57,40,new,new,cr,858,right
14,19,female,native,psychology,2,12,58,40,old,new,miss,705,right
14,19,female,native,psychology,2,12,59,40,old,new,miss,845,right
14,19,female,native,psychology,2,12,60,40,old,old,hit,1028,right
14,19,female,native,psychology,2,12,61,40,new,new,cr,1027,left
14,19,female,native,psychology,2,12,62,40,old,new,miss,1074,right
14,19,female,native,psychology,2,12,63,40,new,new,cr,991,left
14,19,female,native,psychology,2,12,64,40,old,old,hit,1008,left
14,19,female,native,psychology,2,12,65,40,new,old,fa,3584,right
14,19,female,native,psychology,2,12,66,40,new,new,cr,789,left
14,19,female,native,psychology,2,12,67,40,new,new,cr,783,right
14,19,female,native,psychology,2,12,68,40,new,new,cr,728,right
14,19,female,native,psychology,2,12,69,40,new,new,cr,995,right
14,19,female,native,psychology,2,12,70,40,new,new,cr,868,right
14,19,female,native,psychology,2,12,71,40,new,new,cr,1401,left
14,19,female,native,psychology,2,12,72,40,old,new,miss,1017,left
14,19,female,native,psychology,2,12,73,40,old,old,hit,1209,right
14,19,female,native,psychology,2,12,74,40,new,new,cr,2241,right
14,19,female,native,psychology,2,12,75,40,old,new,miss,878,left
14,19,female,native,psychology,2,12,76,40,old,new,miss,1363,left
14,19,female,native,psychology,2,12,77,40,old,new,miss,1396,right
14,19,female,native,psychology,2,12,78,40,old,old,hit,899,right
14,19,female,native,psychology,2,12,79,40,new,new,cr,1096,left
14,19,female,native,psychology,2,12,80,40,new,new,cr,1316,left
14,19,female,native,psychology,2,12,81,40,old,new,miss,1255,right
14,19,female,native,psychology,2,12,82,40,new,new,cr,1197,left
14,19,female,native,psychology,2,12,83,40,old,old,hit,1093,left
14,19,female,native,psychology,2,12,84,40,new,new,cr,897,right
14,19,female,native,psychology,2,12,85,40,new,new,cr,1654,left
14,19,female,native,psychology,2,12,86,40,old,old,hit,907,right
14,19,female,native,psychology,2,12,87,40,new,new,cr,2383,right
14,19,female,native,psychology,2,12,88,40,new,new,cr,1014,left
14,19,female,native,psychology,2,12,89,40,old,new,miss,1590,right
14,19,female,native,psychology,2,12,90,40,new,old,fa,926,left
14,19,female,native,psychology,2,12,91,40,old,old,hit,1025,left
14,19,female,native,psychology,2,12,92,40,old,old,hit,992,right
14,19,female,native,psychology,2,12,93,40,new,new,cr,977,left
14,19,female,native,psychology,2,12,94,40,new,new,cr,1090,right
14,19,female,native,psychology,2,12,95,40,new,new,cr,846,left
14,19,female,native,psychology,2,12,96,40,new,new,cr,1205,right
14,19,female,native,psychology,2,12,97,40,new,new,cr,909,right
14,19,female,native,psychology,2,12,98,40,old,old,hit,1265,left
14,19,female,native,psychology,2,12,99,40,old,old,hit,950,left
14,19,female,native,psychology,2,12,100,40,new,new,cr,1112,right
15,20,female,fluent,psychology,1,1,1,80,new,old,fa,4969,right
15,20,female,fluent,psychology,1,1,2,80,old,old,hit,2597,left
15,20,female,fluent,psychology,1,1,3,80,new,new,cr,1874,left
15,20,female,fluent,psychology,1,1,4,80,old,old,hit,1470,right
15,20,female,fluent,psychology,1,1,5,80,old,old,hit,1371,right
15,20,female,fluent,psychology,1,1,6,80,old,new,miss,1772,left
15,20,female,fluent,psychology,1,1,7,80,old,old,hit,1357,right
15,20,female,fluent,psychology,1,1,8,80,old,old,hit,1087,left
15,20,female,fluent,psychology,1,1,9,80,old,old,hit,1099,right
15,20,female,fluent,psychology,1,1,10,80,old,old,hit,1047,right
15,20,female,fluent,psychology,1,1,11,80,old,old,hit,1302,left
15,20,female,fluent,psychology,1,1,12,80,new,new,cr,1433,right
15,20,female,fluent,psychology,1,1,13,80,old,old,hit,2472,right
15,20,female,fluent,psychology,1,1,14,80,new,new,cr,2507,left
15,20,female,fluent,psychology,1,1,15,80,old,old,hit,1181,left
15,20,female,fluent,psychology,1,1,16,80,old,old,hit,1126,left
15,20,female,fluent,psychology,1,1,17,80,old,old,hit,1089,right
15,20,female,fluent,psychology,1,1,18,80,old,old,hit,1822,right
15,20,female,fluent,psychology,1,1,19,80,old,old,hit,1084,left
15,20,female,fluent,psychology,1,1,20,80,old,old,hit,969,left
15,20,female,fluent,psychology,1,1,21,80,old,old,hit,1035,left
15,20,female,fluent,psychology,1,1,22,80,old,old,hit,1401,left
15,20,female,fluent,psychology,1,1,23,80,old,old,hit,1305,left
15,20,female,fluent,psychology,1,1,24,80,new,new,cr,1213,right
15,20,female,fluent,psychology,1,1,25,80,old,old,hit,1076,right
15,20,female,fluent,psychology,1,1,26,80,old,new,miss,1490,right
15,20,female,fluent,psychology,1,1,27,80,old,old,hit,1678,left
15,20,female,fluent,psychology,1,1,28,80,old,old,hit,1314,right
15,20,female,fluent,psychology,1,1,29,80,old,old,hit,1061,right
15,20,female,fluent,psychology,1,1,30,80,old,old,hit,1682,left
15,20,female,fluent,psychology,1,1,31,80,old,old,hit,902,left
15,20,female,fluent,psychology,1,1,32,80,new,new,cr,971,left
15,20,female,fluent,psychology,1,1,33,80,old,old,hit,1180,right
15,20,female,fluent,psychology,1,1,34,80,old,old,hit,2213,right
15,20,female,fluent,psychology,1,1,35,80,old,old,hit,1219,left
15,20,female,fluent,psychology,1,1,36,80,old,old,hit,906,right
15,20,female,fluent,psychology,1,1,37,80,old,old,hit,1630,left
15,20,female,fluent,psychology,1,1,38,80,new,new,cr,1044,right
15,20,female,fluent,psychology,1,1,39,80,new,new,cr,1395,left
15,20,female,fluent,psychology,1,1,40,80,old,old,hit,1634,right
15,20,female,fluent,psychology,1,1,41,80,old,old,hit,856,right
15,20,female,fluent,psychology,1,1,42,80,old,old,hit,991,left
15,20,female,fluent,psychology,1,1,43,80,new,new,cr,1104,left
15,20,female,fluent,psychology,1,1,44,80,old,old,hit,1148,left
15,20,female,fluent,psychology,1,1,45,80,old,old,hit,1110,left
15,20,female,fluent,psychology,1,1,46,80,old,old,hit,738,left
15,20,female,fluent,psychology,1,1,47,80,old,old,hit,957,right
15,20,female,fluent,psychology,1,1,48,80,old,old,hit,896,left
15,20,female,fluent,psychology,1,1,49,80,old,old,hit,948,right
15,20,female,fluent,psychology,1,1,50,80,old,old,hit,935,right
15,20,female,fluent,psychology,1,1,51,80,new,new,cr,1546,right
15,20,female,fluent,psychology,1,1,52,80,old,old,hit,1171,right
15,20,female,fluent,psychology,1,1,53,80,new,new,cr,1388,left
15,20,female,fluent,psychology,1,1,54,80,old,old,hit,893,right
15,20,female,fluent,psychology,1,1,55,80,old,old,hit,994,right
15,20,female,fluent,psychology,1,1,56,80,old,old,hit,1426,left
15,20,female,fluent,psychology,1,1,57,80,old,old,hit,2561,left
15,20,female,fluent,psychology,1,1,58,80,new,new,cr,1249,right
15,20,female,fluent,psychology,1,1,59,80,old,old,hit,983,right
15,20,female,fluent,psychology,1,1,60,80,old,old,hit,2488,left
15,20,female,fluent,psychology,1,1,61,80,new,new,cr,1194,left
15,20,female,fluent,psychology,1,1,62,80,old,old,hit,1778,right
15,20,female,fluent,psychology,1,1,63,80,new,new,cr,1634,left
15,20,female,fluent,psychology,1,1,64,80,old,old,hit,1032,left
15,20,female,fluent,psychology,1,1,65,80,old,old,hit,1271,right
15,20,female,fluent,psychology,1,1,66,80,old,old,hit,1180,left
15,20,female,fluent,psychology,1,1,67,80,old,old,hit,981,left
15,20,female,fluent,psychology,1,1,68,80,old,old,hit,950,left
15,20,female,fluent,psychology,1,1,69,80,old,old,hit,1176,right
15,20,female,fluent,psychology,1,1,70,80,old,old,hit,1297,left
15,20,female,fluent,psychology,1,1,71,80,old,old,hit,1077,right
15,20,female,fluent,psychology,1,1,72,80,old,old,hit,1010,right
15,20,female,fluent,psychology,1,1,73,80,old,old,hit,1858,left
15,20,female,fluent,psychology,1,1,74,80,old,new,miss,1807,right
15,20,female,fluent,psychology,1,1,75,80,new,old,fa,2734,right
15,20,female,fluent,psychology,1,1,76,80,old,old,hit,886,left
15,20,female,fluent,psychology,1,1,77,80,old,old,hit,859,left
15,20,female,fluent,psychology,1,1,78,80,old,old,hit,1153,right
15,20,female,fluent,psychology,1,1,79,80,old,old,hit,1067,right
15,20,female,fluent,psychology,1,1,80,80,new,new,cr,1385,right
15,20,female,fluent,psychology,1,1,81,80,old,old,hit,1145,right
15,20,female,fluent,psychology,1,1,82,80,old,old,hit,979,left
15,20,female,fluent,psychology,1,1,83,80,old,old,hit,964,left
15,20,female,fluent,psychology,1,1,84,80,old,old,hit,838,left
15,20,female,fluent,psychology,1,1,85,80,new,old,fa,2461,right
15,20,female,fluent,psychology,1,1,86,80,new,old,fa,1649,right
15,20,female,fluent,psychology,1,1,87,80,old,old,hit,3174,left
15,20,female,fluent,psychology,1,1,88,80,old,old,hit,1037,right
15,20,female,fluent,psychology,1,1,89,80,old,old,hit,955,right
15,20,female,fluent,psychology,1,1,90,80,old,old,hit,1054,right
15,20,female,fluent,psychology,1,1,91,80,new,old,fa,2204,left
15,20,female,fluent,psychology,1,1,92,80,old,old,hit,1146,right
15,20,female,fluent,psychology,1,1,93,80,old,new,miss,2804,right
15,20,female,fluent,psychology,1,1,94,80,old,old,hit,1194,left
15,20,female,fluent,psychology,1,1,95,80,old,new,miss,1346,left
15,20,female,fluent,psychology,1,1,96,80,new,new,cr,1123,left
15,20,female,fluent,psychology,1,1,97,80,old,old,hit,1247,left
15,20,female,fluent,psychology,1,1,98,80,old,old,hit,1077,right
15,20,female,fluent,psychology,1,1,99,80,old,old,hit,930,right
15,20,female,fluent,psychology,1,1,100,80,old,old,hit,1269,left
15,20,female,fluent,psychology,1,2,1,40,new,new,cr,3202,left
15,20,female,fluent,psychology,1,2,2,40,old,old,hit,2807,right
15,20,female,fluent,psychology,1,2,3,40,new,old,fa,1948,left
15,20,female,fluent,psychology,1,2,4,40,old,old,hit,3221,left
15,20,female,fluent,psychology,1,2,5,40,new,old,fa,3385,right
15,20,female,fluent,psychology,1,2,6,40,new,new,cr,1414,right
15,20,female,fluent,psychology,1,2,7,40,new,new,cr,1189,right
15,20,female,fluent,psychology,1,2,8,40,old,old,hit,1117,left
15,20,female,fluent,psychology,1,2,9,40,new,new,cr,2105,left
15,20,female,fluent,psychology,1,2,10,40,new,new,cr,3611,left
15,20,female,fluent,psychology,1,2,11,40,new,new,cr,4448,right
15,20,female,fluent,psychology,1,2,12,40,old,old,hit,1345,left
15,20,female,fluent,psychology,1,2,13,40,old,old,hit,1107,left
15,20,female,fluent,psychology,1,2,14,40,new,new,cr,3023,right
15,20,female,fluent,psychology,1,2,15,40,old,old,hit,1211,right
15,20,female,fluent,psychology,1,2,16,40,old,old,hit,1298,right
15,20,female,fluent,psychology,1,2,17,40,new,new,cr,2886,left
15,20,female,fluent,psychology,1,2,18,40,new,new,cr,2776,right
15,20,female,fluent,psychology,1,2,19,40,new,new,cr,1551,left
15,20,female,fluent,psychology,1,2,20,40,old,old,hit,1096,right
15,20,female,fluent,psychology,1,2,21,40,old,old,hit,1140,left
15,20,female,fluent,psychology,1,2,22,40,new,old,fa,1855,right
15,20,female,fluent,psychology,1,2,23,40,new,new,cr,1900,right
15,20,female,fluent,psychology,1,2,24,40,old,old,hit,983,right
15,20,female,fluent,psychology,1,2,25,40,new,new,cr,4264,right
15,20,female,fluent,psychology,1,2,26,40,old,old,hit,1329,right
15,20,female,fluent,psychology,1,2,27,40,old,old,hit,1027,left
15,20,female,fluent,psychology,1,2,28,40,old,old,hit,914,left
